337.00 	119.60 	90.5	20
337.00 	119.71 	91	20
337.00 	119.81 	91.5	20
336.99 	119.92 	92	20
336.99 	120.02 	92.5	20
336.98 	120.13 	93	20
336.98 	120.23 	93.5	20
336.97 	120.34 	94	20
336.96 	120.44 	94.5	20
336.95 	120.55 	95	20
336.94 	120.65 	95.5	20
336.93 	120.75 	96	20
336.92 	120.86 	96.5	20
336.91 	120.96 	97	20
336.90 	121.07 	97.5	20
336.88 	121.17 	98	20
336.87 	121.27 	98.5	20
336.85 	121.38 	99	20
336.84 	121.48 	99.5	20
336.82 	121.58 	100	20
336.80 	121.69 	100.5	20
336.78 	121.79 	101	20
336.76 	121.89 	101.5	20
336.74 	121.99 	102	20
336.72 	122.10 	102.5	20
336.69 	122.20 	103	20
336.67 	122.30 	103.5	20
336.64 	122.40 	104	20
336.62 	122.50 	104.5	20
336.59 	122.61 	105	20
336.56 	122.71 	105.5	20
336.54 	122.81 	106	20
336.51 	122.91 	106.5	20
336.48 	123.01 	107	20
336.44 	123.11 	107.5	20
336.41 	123.21 	108	20
336.38 	123.31 	108.5	20
336.35 	123.41 	109	20
336.31 	123.51 	109.5	20
336.28 	123.60 	110	20
336.24 	123.70 	110.5	20
336.20 	123.80 	111	20
336.17 	123.90 	111.5	20
336.13 	124.00 	112	20
336.09 	124.09 	112.5	20
336.05 	124.19 	113	20
336.00 	124.28 	113.5	20
335.96 	124.38 	114	20
335.92 	124.48 	114.5	20
335.88 	124.57 	115	20
335.83 	124.67 	115.5	20
335.79 	124.76 	116	20
335.74 	124.85 	116.5	20
335.69 	124.95 	117	20
335.64 	125.04 	117.5	20
335.60 	125.13 	118	20
335.55 	125.23 	118.5	20
335.50 	125.32 	119	20
335.44 	125.41 	119.5	20
335.39 	125.50 	120	20
335.34 	125.59 	120.5	20
335.29 	125.68 	121	20
335.23 	125.77 	121.5	20
335.18 	125.86 	122	20
335.12 	125.95 	122.5	20
335.06 	126.04 	123	20
335.01 	126.12 	123.5	20
334.95 	126.21 	124	20
334.89 	126.30 	124.5	20
334.83 	126.38 	125	20
334.77 	126.47 	125.5	20
334.71 	126.55 	126	20
334.65 	126.64 	126.5	20
334.58 	126.72 	127	20
334.52 	126.81 	127.5	20
334.46 	126.89 	128	20
334.39 	126.97 	128.5	20
334.33 	127.05 	129	20
334.26 	127.13 	129.5	20
334.19 	127.21 	130	20
334.12 	127.29 	130.5	20
334.06 	127.37 	131	20
333.99 	127.45 	131.5	20
333.92 	127.53 	132	20
333.85 	127.61 	132.5	20
333.78 	127.68 	133	20
333.70 	127.76 	133.5	20
333.63 	127.84 	134	20
333.56 	127.91 	134.5	20
333.49 	127.99 	135	20
333.41 	128.06 	135.5	20
333.34 	128.13 	136	20
333.26 	128.20 	136.5	20
333.18 	128.28 	137	20
333.11 	128.35 	137.5	20
333.03 	128.42 	138	20
332.95 	128.49 	138.5	20
332.87 	128.56 	139	20
332.79 	128.62 	139.5	20
332.71 	128.69 	140	20
332.63 	128.76 	140.5	20
332.55 	128.83 	141	20
332.47 	128.89 	141.5	20
332.39 	128.96 	142	20
332.31 	129.02 	142.5	20
332.22 	129.08 	143	20
332.14 	129.15 	143.5	20
332.05 	129.21 	144	20
331.97 	129.27 	144.5	20
331.88 	129.33 	145	20
331.80 	129.39 	145.5	20
331.71 	129.45 	146	20
331.62 	129.51 	146.5	20
331.54 	129.56 	147	20
331.45 	129.62 	147.5	20
331.36 	129.68 	148	20
331.27 	129.73 	148.5	20
331.18 	129.79 	149	20
331.09 	129.84 	149.5	20
331.00 	129.89 	150	20
330.91 	129.94 	150.5	20
330.82 	130.00 	151	20
330.73 	130.05 	151.5	20
330.63 	130.10 	152	20
330.54 	130.14 	152.5	20
330.45 	130.19 	153	20
330.35 	130.24 	153.5	20
330.26 	130.29 	154	20
330.17 	130.33 	154.5	20
330.07 	130.38 	155	20
329.98 	130.42 	155.5	20
329.88 	130.46 	156	20
329.78 	130.50 	156.5	20
329.69 	130.55 	157	20
329.59 	130.59 	157.5	20
329.50 	130.63 	158	20
329.40 	130.67 	158.5	20
329.30 	130.70 	159	20
329.20 	130.74 	159.5	20
329.10 	130.78 	160	20
329.01 	130.81 	160.5	20
328.91 	130.85 	161	20
328.81 	130.88 	161.5	20
328.71 	130.91 	162	20
328.61 	130.94 	162.5	20
328.51 	130.98 	163	20
328.41 	131.01 	163.5	20
328.31 	131.04 	164	20
328.21 	131.06 	164.5	20
328.11 	131.09 	165	20
328.00 	131.12 	165.5	20
327.90 	131.14 	166	20
327.80 	131.17 	166.5	20
327.70 	131.19 	167	20
327.60 	131.22 	167.5	20
327.49 	131.24 	168	20
327.39 	131.26 	168.5	20
327.29 	131.28 	169	20
327.19 	131.30 	169.5	20
327.08 	131.32 	170	20
326.98 	131.34 	170.5	20
326.88 	131.35 	171	20
326.77 	131.37 	171.5	20
326.67 	131.38 	172	20
326.57 	131.40 	172.5	20
326.46 	131.41 	173	20
326.36 	131.42 	173.5	20
326.25 	131.43 	174	20
326.15 	131.44 	174.5	20
326.05 	131.45 	175	20
325.94 	131.46 	175.5	20
325.84 	131.47 	176	20
325.73 	131.48 	176.5	20
325.63 	131.48 	177	20
325.52 	131.49 	177.5	20
325.42 	131.49 	178	20
325.31 	131.50 	178.5	20
325.21 	131.50 	179	20
325.10 	131.50 	179.5	20
325.00 	131.50 	180	20
